Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
alami,Chrome 101.0.4951.67,,,2022-05-23 18:55:07,2022-05-23 18:56:07,59.941s,PASSED
,,,,,,,
Test Cases/regis,Chrome 101.0.4951.67,,,2022-05-23 18:55:07,2022-05-23 18:55:41,33.600s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-23 18:55:08,2022-05-23 18:55:11,3.256s,PASSED
"navigateToUrl(""https://dev.p2p.alamisharia.co.id/register"")",Chrome 101.0.4951.67,,,2022-05-23 18:55:11,2022-05-23 18:55:17,6.195s,PASSED
"click(findTestObject(""Object Repository/Page_ALAMI Daftar  ALAMI Peer-to-Peer Lendi_33cbd2/div_Pemberi Dana                           _b3d4b2""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:17,2022-05-23 18:55:19,1.737s,PASSED
"setText(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/input_Nama Lengkap_name""), ""alami321"")",Chrome 101.0.4951.67,,,2022-05-23 18:55:19,2022-05-23 18:55:20,0.767s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/div_Email                                  _515bc9""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:20,2022-05-23 18:55:20,0.390s,PASSED
"setText(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/input_Nama Lengkap_name""), ""alami"")",Chrome 101.0.4951.67,,,2022-05-23 18:55:20,2022-05-23 18:55:21,1.029s,PASSED
Number = Random().nextInt(1000 - 1 + 1) + 10,Chrome 101.0.4951.67,,,2022-05-23 18:55:21,2022-05-23 18:55:21,0.010s,PASSED
"Counter1 = ""alami"" + Number",Chrome 101.0.4951.67,,,2022-05-23 18:55:21,2022-05-23 18:55:21,0.001s,PASSED
"email = Counter1 + ""@mail7.io""",Chrome 101.0.4951.67,,,2022-05-23 18:55:21,2022-05-23 18:55:21,0.000s,PASSED
email = email,Chrome 101.0.4951.67,,,2022-05-23 18:55:21,2022-05-23 18:55:22,0.299s,PASSED
"setText(findTestObject(""Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/input_Email_email"", [email:email]), email)",Chrome 101.0.4951.67,,,2022-05-23 18:55:22,2022-05-23 18:55:22,0.767s,PASSED
Number1 = Random().nextInt(999999999 - 10 + 1) + 10,Chrome 101.0.4951.67,,,2022-05-23 18:55:22,2022-05-23 18:55:22,0.001s,PASSED
"phone = ""0812"" + Number1",Chrome 101.0.4951.67,,,2022-05-23 18:55:22,2022-05-23 18:55:22,0.001s,PASSED
phone = phone,Chrome 101.0.4951.67,,,2022-05-23 18:55:22,2022-05-23 18:55:22,0.001s,PASSED
"setText(findTestObject(""Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/input_No. Handphone_phone"", [phone:phone]), phone)",Chrome 101.0.4951.67,,,2022-05-23 18:55:22,2022-05-23 18:55:23,0.746s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/input_Password_password""), ""qoEw0cfPgy3c6UpBNaFY9w=="")",Chrome 101.0.4951.67,,,2022-05-23 18:55:23,2022-05-23 18:55:24,0.597s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/label_Individual""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:24,2022-05-23 18:55:24,0.586s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/select_-- Silahkan Pilih --                _9f24ad""), ""2"", true)",Chrome 101.0.4951.67,,,2022-05-23 18:55:24,2022-05-23 18:55:26,1.308s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/button_Lanjutkan""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:26,2022-05-23 18:55:26,0.436s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/h5_Kebijakan Privasi  Ketentuan Pengguna""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:26,2022-05-23 18:55:27,0.896s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/p_Bismillahirrahmanirrahim""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:27,2022-05-23 18:55:27,0.413s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:27,2022-05-23 18:55:28,0.355s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:28,2022-05-23 18:55:28,0.514s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:28,2022-05-23 18:55:29,0.309s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:29,2022-05-23 18:55:29,0.301s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:29,2022-05-23 18:55:29,0.312s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:29,2022-05-23 18:55:29,0.308s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:29,2022-05-23 18:55:30,0.316s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:30,2022-05-23 18:55:30,0.306s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:30,2022-05-23 18:55:30,0.314s,PASSED
